student_id,faculty,year_of_study,gender,attendance_decline_pct,lms_inactivity_gap_days,assignment_delay_index,grade_volatility_score,current_avg_mark,true_risk_tier
KDU10371,FOC,1,Female,26.8,7.2,0.36,13.3,45.9,moderate
KDU10372,FOL,3,Female,35.4,16.4,0.56,16.7,38.0,high
KDU10373,FAHS,2,Male,33.9,4.6,0.51,14.8,60.9,moderate
KDU10374,FOL,4,Female,15.2,2.1,0,7.2,78.2,low
KDU10375,FBESS,1,Female,34.3,4.1,0.47,8.8,46.9,moderate
KDU10376,FMSH,1,Male,11.8,0,0.28,6.5,62.9,low
KDU10377,FOT,3,Female,15.6,15.8,0.17,9.1,51.1,moderate
KDU10378,FMSH,3,Male,31.9,7.5,0.32,16.9,48.0,moderate
KDU10379,FOM,2,Female,21.6,11.3,0.23,8.0,66.3,low
KDU10380,FOL,1,Male,42.5,9.7,0.44,16.5,53.7,high
KDU10381,FOT,2,Male,3.4,0.5,0.03,2.7,74.4,low
KDU10382,FAHS,4,Male,3.5,3.9,0.14,21.0,80.9,low
KDU10383,FOE,3,Male,15.6,0,0.17,8.5,79.4,low
KDU10384,FAHS,3,Female,22.8,13.8,0.41,13.5,52.8,moderate
KDU10385,FDSS,3,Male,0,0,0.08,4.1,68.2,low
KDU10386,FOL,1,Female,0.5,7.7,0,0,76.6,low
KDU10387,FOL,2,Female,21.3,8.3,0.18,15.0,63.8,moderate
KDU10388,FDSS,2,Female,6.5,8.4,0.09,9.4,77.1,low
KDU10389,FOCJ,3,Female,33.5,21.9,0.65,40,45.4,high
KDU10390,FOT,1,Male,55.6,21.6,0.64,30.5,77.9,high
KDU10391,FOE,1,Male,49.8,10.5,0.48,23.4,35.6,high
KDU10392,FOE,4,Female,5.3,3.2,0.01,1.9,49.1,low
KDU10393,FOL,4,Male,36.7,0,0.37,12.9,51.7,moderate
KDU10394,FDSS,1,Male,61.7,15.6,0.53,29.5,40.4,high
KDU10395,FAHS,1,Female,26.0,11.3,0.7,21.4,53.1,high
KDU10396,FOC,3,Female,9.6,2.0,0,0,57.1,low
KDU10397,FMSH,4,Male,31.3,7.0,0.21,6.2,84.6,low
KDU10398,FDSS,4,Female,30.9,7.2,0.26,14.0,70.7,moderate
KDU10399,FOC,2,Male,57.6,21.5,0.95,38.8,70.2,high
KDU10400,FOL,1,Male,10.6,5.1,0.14,0,68.3,low
KDU10401,FOT,2,Male,8.5,0,0.11,2.1,68.8,low
KDU10402,FOE,4,Male,17.0,3.7,0.23,2.4,77.5,low
KDU10403,FDSS,4,Female,0,1.5,0.05,9.9,80.8,low
KDU10404,FOC,2,Male,9.2,0.8,0.2,13.3,68.1,low
KDU10405,FBESS,4,Male,18.5,11.0,0.7,13.2,45.3,moderate
KDU10406,FMSH,2,Male,4.6,0,0.23,11.6,68.5,low
KDU10407,FOE,2,Female,8.5,0,0.05,11.2,88.3,low
KDU10408,FOL,4,Male,0,0,0.22,12.4,66.7,low
KDU10409,FAHS,2,Male,53.0,5.6,0.51,30.0,54.0,high
KDU10410,FOCJ,2,Male,7.2,5.8,0.43,2.8,81.8,low
KDU10411,FOC,4,Female,10.2,5.7,0.02,6.4,63.4,low
KDU10412,FOM,1,Male,1.6,1.7,0,1.3,78.5,low
KDU10413,FBESS,1,Male,1.1,0.3,0.08,0,64.4,low
KDU10414,FAHS,3,Male,0,7.9,0.39,17.2,49.6,moderate
KDU10415,FOL,3,Male,2.0,4.9,0.21,14.5,42.8,moderate
KDU10416,FOC,4,Female,59.2,13.3,0.28,29.3,52.0,high
KDU10417,FOE,2,Female,30.5,10.6,0.45,22.2,61.3,moderate
KDU10418,FMSH,3,Female,1.8,2.6,0.15,8.4,76.5,low
KDU10419,FOCJ,3,Female,16.4,0.1,0.4,11.6,53.4,moderate
KDU10420,FOT,3,Male,10.9,5.1,0.25,6.1,66.9,low
KDU10421,FOE,1,Female,0,0,0,5.9,71.3,low
KDU10422,FOC,3,Male,50.6,12.5,0.67,28.2,52.0,high
KDU10423,FDSS,2,Female,4.7,1.2,0.11,9.6,73.9,low
KDU10424,FOT,1,Male,9.9,1.8,0.06,6.1,81.2,low
KDU10425,FAHS,1,Female,10.1,1.9,0.2,0.8,81.1,low
KDU10426,FBESS,4,Female,5.9,4.0,0.17,3.5,74.7,low
KDU10427,FOE,4,Male,61.8,17.2,0.69,29.6,40.9,high
KDU10428,FBESS,1,Female,7.1,0.9,0,13.7,77.1,low
KDU10429,FOCJ,2,Female,35.1,13.5,0.5,38.3,39.0,high
KDU10430,FDSS,4,Male,0,3.2,0.06,6.7,70.1,low
KDU10431,FOT,1,Female,25.9,3.5,0.46,15.9,54.8,moderate
KDU10432,FDSS,3,Female,3.6,2.9,0.03,4.9,75.5,low
KDU10433,FOM,1,Female,0,0,0.12,3.1,84.6,low
KDU10434,FOT,2,Female,14.9,3.6,0.16,12.3,84.1,low
KDU10435,FBESS,4,Male,22.0,8.4,0.16,6.1,70.1,low
KDU10436,FOT,1,Male,14.0,1.2,0.36,5.4,59.8,low
KDU10437,FAHS,1,Male,12.4,0,0.34,5.3,78.1,low
KDU10438,FOE,2,Female,0.8,3.7,0.02,0,74.3,low
KDU10439,FDSS,1,Male,0,7.7,0,10.7,67.5,low
KDU10440,FBESS,3,Male,7.3,1.3,0.09,6.5,78.1,low
KDU10441,FOL,1,Female,64.0,16.1,0.13,11.1,41.3,high
KDU10442,FOCJ,3,Female,11.1,4.7,0.1,24.3,65.2,moderate
KDU10443,FMSH,1,Male,47.6,8.8,0.74,34.1,44.8,high
KDU10444,FBESS,2,Female,4.6,2.7,0,5.8,71.3,low
KDU10445,FOCJ,4,Female,47.2,7.6,0.81,27.5,36.9,high
KDU10446,FAHS,4,Female,24.7,0,0.4,7.3,52.4,moderate
KDU10447,FMSH,1,Male,11.2,0,0.16,6.4,66.8,low
KDU10448,FDSS,1,Male,14.4,5.4,0.09,2.6,77.1,low
KDU10449,FBESS,1,Female,9.4,4.8,0,6.7,72.8,low
KDU10450,FOCJ,2,Female,6.7,0,0,8.7,83.2,low
KDU10451,FOE,1,Female,19.1,11.5,0.24,9.7,53.9,moderate
KDU10452,FDSS,4,Male,10.2,0.6,0.0,7.3,53.0,low
KDU10453,FAHS,4,Male,12.5,5.0,0.34,18.7,59.6,moderate
KDU10454,FDSS,2,Female,7.1,5.1,0.06,3.4,81.6,low
KDU10455,FMSH,2,Male,0,1.5,0.24,4.3,72.6,low
KDU10456,FDSS,1,Female,0,5.8,0,7.7,83.7,low
KDU10457,FAHS,3,Female,3.4,3.6,0.13,13.0,72.8,low
KDU10458,FDSS,4,Female,9.5,3.6,0.21,0,78.3,low
KDU10459,FOL,3,Female,9.8,0,0.64,8.6,52.2,moderate
KDU10460,FDSS,3,Male,0,5.4,0.04,7.6,68.2,low
KDU10461,FDSS,2,Male,30.4,5.2,0.64,3.6,67.5,moderate
KDU10462,FOCJ,1,Male,25.2,7.1,0.06,10.0,58.6,moderate
KDU10463,FBESS,2,Male,16.8,11.5,0.47,15.5,59.4,moderate
KDU10464,FOT,4,Female,13.7,7.4,0.35,21.4,62.4,moderate
KDU10465,FAHS,2,Male,27.1,0,0.06,7.5,76.5,low
KDU10466,FOE,3,Male,2.2,4.6,0.04,3.4,68.0,low
KDU10467,FDSS,3,Female,6.2,0.2,0.14,9.4,72.6,low
KDU10468,FBESS,2,Female,7.5,3.9,0,5.7,75.7,low
KDU10469,FAHS,3,Male,44.4,7.0,0.26,3.0,63.2,low
KDU10470,FOCJ,3,Male,0,1.5,0.06,2.4,67.5,low
KDU10471,FMSH,2,Female,0,3.1,0.12,0,62.1,low
KDU10472,FOL,3,Female,5.8,0.5,0.22,3.8,78.8,low
KDU10473,FBESS,1,Female,6.3,2.8,0.09,2.8,74.8,low
KDU10474,FOL,3,Male,0,0.4,0,0,73.6,low
KDU10475,FOCJ,3,Male,44.5,16.5,0.2,28.4,75.2,moderate
KDU10476,FAHS,2,Male,30.3,10.4,0.05,11.7,55.6,moderate
KDU10477,FOCJ,1,Male,6.6,0,0.18,5.8,57.1,low
KDU10478,FOL,3,Male,28.8,6.2,0.21,0,65.0,moderate
KDU10479,FOCJ,4,Male,7.2,1.3,0,5.7,64.6,low
KDU10480,FBESS,3,Male,47.8,17.7,0.67,17.6,37.7,high
KDU10481,FOCJ,1,Female,8.4,1.5,0.19,11.2,74.4,low
KDU10482,FDSS,3,Female,2.2,5.2,0,6.4,75.5,low
KDU10483,FOE,4,Male,2.7,0,0.26,6.9,59.5,low
KDU10484,FOCJ,3,Male,6.2,6.1,0.08,6.9,84.6,low
KDU10485,FOC,2,Male,5.3,4.6,0.02,0,54.4,low
KDU10486,FAHS,4,Male,1.2,0,0.19,1.1,65.1,low
KDU10487,FOCJ,4,Female,0.7,2.0,0.13,0,81.3,low
KDU10488,FOCJ,1,Male,12.4,2.6,0.34,0.9,82.4,low
KDU10489,FOL,3,Female,39.7,2.1,0.3,3.2,55.0,moderate
KDU10490,FOM,2,Female,11.3,3.4,0.19,15.7,74.1,low
KDU10491,FOC,1,Male,0,3.2,0.15,2.1,73.4,low
KDU10492,FOC,1,Male,14.9,10.6,0.3,0.4,47.9,moderate
KDU10493,FMSH,1,Male,9.2,4.7,0.29,13.2,68.5,moderate
KDU10494,FOM,4,Female,2.5,1.7,0.14,6.1,86.2,low
KDU10495,FOM,2,Female,34.9,2.5,0,19.2,67.1,moderate
KDU10496,FOC,1,Male,12.7,5.0,0.49,17.8,55.6,moderate
KDU10497,FOC,3,Female,29.6,13.1,0.55,25.9,24.1,high
KDU10498,FOM,4,Female,5.7,3.8,0.01,0.1,84.5,low
KDU10499,FOC,3,Male,10.0,3.4,0,0,72.8,low
KDU10500,FOE,1,Female,72.7,15.7,0.86,37.2,43.6,high
KDU10501,FAHS,2,Female,6.9,5.6,0.15,0,66.1,low
KDU10502,FOL,4,Female,0.3,0.7,0.14,2.4,70.0,low
KDU10503,FDSS,4,Female,8.0,2.5,0.16,3.3,49.2,low
KDU10504,FOM,4,Female,2.8,5.7,0.22,1.6,77.5,low
KDU10505,FOE,3,Female,13.4,4.0,0.09,8.0,76.8,low
KDU10506,FOE,3,Male,0,5.9,0,0,74.2,low
KDU10507,FOC,4,Female,13.8,3.5,0.21,18.4,56.5,moderate
KDU10508,FDSS,1,Male,0,0.5,0,3.9,69.9,low
KDU10509,FMSH,2,Female,8.9,1.6,0.07,9.1,78.3,low
KDU10510,FOT,4,Male,3.7,0.9,0.13,2.7,74.7,low
KDU10511,FDSS,2,Male,9.0,5.1,0.06,8.7,80.3,low
KDU10512,FOT,3,Female,7.9,3.8,0,2.4,71.4,low
KDU10513,FOT,4,Female,13.5,2.4,0,0,73.1,low
KDU10514,FBESS,1,Male,21.5,10.8,0.24,8.2,72.9,low
KDU10515,FMSH,4,Female,0,0,0,1.7,71.8,low
KDU10516,FDSS,1,Female,5.6,0,0,0,88.2,low
KDU10517,FBESS,3,Male,40.4,10.1,0.66,39.0,59.2,high
KDU10518,FMSH,2,Female,9.9,3.2,0,1.2,84.9,low
KDU10519,FOCJ,3,Female,15.9,7.4,0.3,2.2,65.8,low
KDU10520,FDSS,2,Male,15.5,5.1,0,19.9,73.2,low
KDU10521,FDSS,4,Male,0,1.0,0,4.2,71.3,low
KDU10522,FDSS,2,Male,9.2,2.3,0.06,8.1,67.1,low
KDU10523,FOT,4,Female,20.6,6.9,0.02,8.8,70.6,low
KDU10524,FMSH,2,Female,21.4,2.2,0.21,8.3,87.9,low
KDU10525,FOM,1,Female,26.0,8.5,0.3,20.1,45.7,moderate
KDU10526,FAHS,1,Male,36.0,2.7,0.26,25.1,69.6,moderate
KDU10527,FMSH,1,Female,2.7,5.2,0,0,65.0,low
KDU10528,FAHS,1,Female,0,0,0.35,6.1,57.6,low
KDU10529,FOC,3,Female,2.3,0.1,0.15,1.3,80.9,low
KDU10530,FDSS,2,Male,2.6,7.5,0.28,30.1,62.9,moderate
KDU10531,FOM,2,Male,0,0,0.18,0,61.1,low
KDU10532,FOL,1,Female,5.3,0,0,5.8,56.7,low
KDU10533,FOCJ,2,Female,25.4,11.6,0.77,13.1,63.7,moderate
KDU10534,FMSH,1,Male,38.3,19.6,0.54,10.5,58.8,moderate
KDU10535,FOE,3,Male,35.4,7.1,0.6,8.0,60.4,moderate
KDU10536,FOM,2,Female,45.6,15.8,0.42,11.0,34.8,high
KDU10537,FOM,1,Female,11.1,0.7,0.19,4.8,81.8,low
KDU10538,FOC,3,Female,18.7,0.2,0.36,8.4,59.9,moderate
KDU10539,FMSH,2,Male,23.7,5.9,0.44,24.9,57.9,moderate
KDU10540,FOC,3,Male,2.3,0,0.06,3.9,64.6,low
KDU10541,FOM,3,Male,0,0,0.2,1.2,74.3,low
KDU10542,FOT,3,Female,2.3,1.1,0,10.0,60.7,low
KDU10543,FDSS,3,Female,2.0,0,0,6.7,77.4,low
KDU10544,FBESS,2,Female,23.5,7.7,0.31,15.2,52.2,moderate
KDU10545,FOT,2,Male,0.1,5.4,0,8.0,73.1,low
KDU10546,FAHS,1,Male,6.3,1.9,0.24,10.5,53.3,low
KDU10547,FOC,4,Male,24.3,10.2,0.22,1.8,62.0,low
KDU10548,FOM,2,Female,9.8,5.0,0.17,7.5,80.6,low
KDU10549,FOM,2,Male,5.1,0,0.24,6.0,85.7,low
KDU10550,FOL,4,Male,1.1,0,0.08,7.9,82.9,low
KDU10551,FDSS,4,Male,3.8,0,0.21,2.1,68.2,low
KDU10552,FOL,3,Female,9.4,0.4,0.07,0,61.7,low
KDU10553,FOCJ,4,Male,32.4,5.8,0.4,8.2,68.1,moderate
KDU10554,FMSH,3,Male,2.0,1.4,0,0,62.6,low
KDU10555,FMSH,1,Male,8.2,1.7,0.1,6.2,79.0,low
KDU10556,FOC,2,Female,0,0,0.1,3.2,72.8,low
KDU10557,FOM,3,Male,22.4,8.5,0.27,25.2,66.8,moderate
KDU10558,FOL,2,Male,20.2,9.0,0.08,18.2,62.5,moderate
KDU10559,FOCJ,3,Male,11.4,0,0.11,12.6,74.6,low
KDU10560,FOE,2,Female,3.2,0,0.23,1.1,59.7,low
KDU10561,FBESS,1,Female,31.1,20.4,0.29,9.1,68.1,moderate
KDU10562,FOE,1,Male,6.3,5.5,0.2,0,59.4,low
KDU10563,FDSS,3,Male,5.6,2.0,0.02,5.6,53.0,low
KDU10564,FOM,4,Female,5.6,3.5,0.22,17.6,70.9,low
KDU10565,FOC,2,Male,2.8,3.9,0,3.3,51.1,low
KDU10566,FBESS,1,Female,39.1,14.2,0.27,12.5,60.8,moderate
KDU10567,FOL,2,Female,17.9,0,0.17,3.6,66.2,low
KDU10568,FOC,3,Female,0,4.0,0.0,7.9,93.1,low
KDU10569,FOL,2,Female,14.6,19.9,0.45,27.1,46.3,high
KDU10570,FOM,2,Female,9.4,0,0,6.1,69.1,low
KDU10571,FOL,1,Male,33.6,11.1,0.28,32.4,43.3,high
KDU10572,FDSS,3,Female,12.8,3.8,0.23,0.5,60.8,moderate
KDU10573,FDSS,1,Male,20.1,4.2,0.32,21.7,52.5,moderate
KDU10574,FOM,4,Male,21.2,10.1,0.27,11.2,76.1,moderate
KDU10575,FOE,2,Male,47.8,11.0,0.79,25.9,40.3,high
KDU10576,FMSH,1,Male,30.0,11.8,0.09,19.9,51.5,moderate
KDU10577,FOT,2,Female,4.8,0.8,0.05,1.7,75.7,low
KDU10578,FOL,1,Male,46.0,13.7,0.49,10.2,39.0,high
KDU10579,FOT,1,Female,40.0,21.6,0.36,26.4,28.0,high
KDU10580,FBESS,1,Female,32.2,14.8,0.76,35.5,46.2,high
KDU10581,FBESS,2,Female,0.6,6.0,0.24,2.2,68.0,low
KDU10582,FOT,4,Female,7.9,3.9,0,4.6,83.6,low
KDU10583,FAHS,1,Female,49.0,7.8,0.79,31.8,31.1,high
KDU10584,FOE,1,Male,0,3.2,0.16,15.2,71.4,low
KDU10585,FOCJ,4,Female,0.3,1.0,0,6.9,72.8,low
KDU10586,FDSS,2,Female,10.6,0,0.13,10.6,58.3,low
KDU10587,FAHS,4,Male,33.6,0.4,0.49,6.5,72.2,moderate
KDU10588,FMSH,2,Female,21.7,4.8,0.42,7.5,49.8,moderate
KDU10589,FDSS,3,Male,8.7,2.5,0,16.0,79.0,low
KDU10590,FAHS,2,Female,19.7,1.4,0.54,18.1,45.9,moderate
KDU10591,FOCJ,2,Male,4.0,8.2,0.24,0,58.8,low
KDU10592,FMSH,1,Male,2.0,0,0.17,3.6,80.5,low
KDU10593,FBESS,3,Male,8.0,2.0,0.13,0,66.8,low
KDU10594,FAHS,2,Female,32.7,16.1,0.29,13.8,76.4,moderate
KDU10595,FBESS,1,Male,28.1,2.6,0.4,13.0,57.0,moderate
KDU10596,FOE,3,Male,59.3,18.1,0.58,9.4,78.2,moderate
KDU10597,FBESS,3,Female,0,1.1,0.03,8.3,85.8,low
KDU10598,FOC,2,Female,3.3,7.3,0.03,10.6,84.7,low
KDU10599,FOM,1,Female,8.4,2.3,0,2.7,66.2,low
